SAMPLE,TN,TP,DOC,Chla,WT,Cond,pH,DO,Longitude,Latitude,AT,Pre,Elevation,Distance,Cropland,Impervious
B9_9,2.175510204,0.117842,2.5135,0.2594,22.403,365.7,8.24,9.33,103.7292944,28.229225,17.9,55.1,697,1542888.107,2690100,36000
B9_11,2.797959184,0.07055,1.733,0.2162,18.783,430.1,8.18,9.13,103.7292944,28.229225,10.1,18.1,697,1542888.107,2690100,36000
B8_S_1,0.6629088,0.0550888,1.4272,26.7062,13.662,434.8,8.49,9.44,103.8771417,28.31155,8.9,7,420,1561829.37,1273500,16200
B8_S_3,0.7000392,0.042928,1.2762,6.0178,14.051,419.1,8.56,9.76,103.8771417,28.31155,19.7,57.5,420,1561829.37,1273500,16200
B8_S_5,1.80584,0.03677,4.272666667,2.0504,18.477,372.3,8.27,8.83,103.8771417,28.31155,24.8,185.3,420,1561829.37,1273500,16200
B8_S_7,1.598947368,0.111086,3.835,0.2735,22.423,468.3,8.08,8.91,103.8771417,28.31155,27.2,182.4,420,1561829.37,1273500,16200
B8_S_9,2.869387755,0.136421,2.447,0.0998,22.431,385.8,8.21,9.69,103.8771417,28.31155,16.8,56.7,420,1561829.37,1273500,16200
B8_S_11,2.859183673,0.068861,1.922,0.2678,18.678,429.9,8.21,8.97,103.8771417,28.31155,8.7,17.8,420,1561829.37,1273500,16200
May_4,1.994225344,0.0465758,1.636,1.6018,19.317,427,7.97,9.2,103.8771417,28.31155,21.4,259.4,420,1561829.37,1269900,14400
July_4,1.613522176,0.08169515,1.1275,1.0816,22.799,466.6,8.1,8.72,103.8771417,28.31155,25.1,76.4,420,1561829.37,1269900,14400
Nov_4,1.563448192,0.03152465,0.7065,0.8282,17.937,440.5,8.05,8.86,103.8771417,28.31155,5.5,35.1,420,1561829.37,1269900,14400
